"Month","Passengers"
"2012-01",112
"2012-02",118
"2012-03",132
"2012-04",129
"2012-05",121
"2012-06",135
"2012-07",148
"2012-08",148
"2012-09",136
"2012-10",119
"2012-11",104
"2012-12",118
"2013-01",115
"2013-02",126
"2013-03",141
"2013-04",135
"2013-05",125
"2013-06",149
"2013-07",170
"2013-08",170
"2013-09",158
"2013-10",133
"2013-11",114
"2013-12",140
"2014-01",145
"2014-02",150
"2014-03",178
"2014-04",163
"2014-05",172
"2014-06",178
"2014-07",199
"2014-08",199
"2014-09",184
"2014-10",162
"2014-11",146
"2014-12",166
"2015-01",171
"2015-02",180
"2015-03",193
"2015-04",181
"2015-05",183
"2015-06",218
"2015-07",230
"2015-08",242
"2015-09",209
"2015-10",191
"2015-11",172
"2015-12",194
"2016-01",196
"2016-02",196
"2016-03",236
"2016-04",235
"2016-05",229
"2016-06",243
"2016-07",264
"2016-08",272
"2016-09",237
"2016-10",211
"2016-11",180
"2016-12",201
"2017-01",204
"2017-02",188
"2017-03",235
"2017-04",227
"2017-05",234
"2017-06",264
"2017-07",302
"2017-08",293
"2017-09",259
"2017-10",229
"2017-11",203
"2017-12",229
"2018-01",242
"2018-02",233
"2018-03",267
"2018-04",269
"2018-05",270
"2018-06",315
"2018-07",364
"2018-08",347
"2018-09",312
"2018-10",274
"2018-11",237
"2018-12",278
"2019-01",284
"2019-02",277
"2019-03",317
"2019-04",313
"2019-05",318
"2019-06",374
"2019-07",413
"2019-08",405
"2019-09",355
"2019-10",306
"2019-11",271
"2019-12",306
"2020-01",315
"2020-02",301
"2020-03",356
"2020-04",348
"2020-05",355
"2020-06",422
"2020-07",465
"2020-08",467
"2020-09",404
"2020-10",347
"2020-11",305
"2020-12",336
"2021-01",340
"2021-02",318
"2021-03",362
"2021-04",348
"2021-05",363
"2021-06",435
"2021-07",491
"2021-08",505
"2021-09",404
"2021-10",359
"2021-11",310
"2021-12",337
"2022-01",360
"2022-02",342
"2022-03",406
"2022-04",396
"2022-05",420
"2022-06",472
"2022-07",548
"2022-08",559
"2022-09",463
"2022-10",407
"2022-11",362
"2022-12",405
"2023-01",417
"2023-02",391
"2023-03",419
"2023-04",461
"2023-05",472
"2023-06",535
"2023-07",622
"2023-08",606
"2023-09",508
"2023-10",461
"2023-11",390
"2023-12",432
